DktRegion,Pipeline,sigma.0.,sigma.2.5.,sigma.25.,sigma.50.,sigma.75.,sigma.97.5.,sigma.100.,sigma.sd,tau0.0.,tau0.2.5.,tau0.25.,tau0.50.,tau0.75.,tau0.97.5.,tau0.100.,tau_0.sd,tau1.0.,tau1.2.5.,tau1.25.,tau1.50.,tau1.75.,tau1.97.5.,tau1.100.,tau_1.sd,variance.ratio.0.,variance.ratio.2.5.,variance.ratio.25.,variance.ratio.50.,variance.ratio.75.,variance.ratio.97.5.,variance.ratio.100.,variance.ratio.sd,variance.ratio.exp.0.,variance.ratio.exp.2.5.,variance.ratio.exp.25.,variance.ratio.exp.50.,variance.ratio.exp.75.,variance.ratio.exp.97.5.,variance.ratio.exp.100.,variance.ratio.exp.sd
L-DG,ASHS Xs,0.598612682361624,0.675342561361353,0.731471498065148,0.779491997078102,0.813471422755276,0.904012397305134,1.10320772148585,0.0589110882319019,0.16301489394432,0.467287923657361,0.56659258468927,0.648258070014033,0.717803778490548,0.84347918084989,1.04967659657268,0.101694305326025,0.426606868228989,0.476636406991768,0.87221338630307,2.01501994122553,6.20327208803143,12.4717843133874,20.9962035654197,3.98244346779235,0.147764460644605,0.550313659586353,0.705205097055709,0.833607008683522,0.964111494558435,1.17913688345687,1.46049057715609,0.168679151313599,1.09131360124346,1.25114443143846,1.93000152674001,3.48314585914373,9.01176820668001,17.4802230488902,28.7872790885292,5.42150609373799
L-SUB,ASHS Xs,0.321964736173903,0.392410844731155,0.418684694241133,0.442019439955743,0.473259411927603,0.526865019995062,0.629612137585016,0.038188203292457,0.688644132020219,0.782128208879091,0.885148637029147,0.942380556554502,0.992207132410069,1.09712051873588,1.28514075303142,0.0803020972762636,0.315711628563778,0.837466315346116,1.72712862260934,3.89420877480628,11.520959693082,23.4713019235596,41.5813147581736,7.91145698264573,1.2702609277854,1.61573075767231,1.91441350477935,2.12852519723529,2.30642350920105,2.64185207165267,3.07160142555994,0.283925691876606,2.24090335427644,3.73568861759724,5.9261680178264,10.6818439945423,27.2587173222903,58.8255866358102,96.4007066747232,19.1187489539739
R-CA1,ASHS Xs,0.458908935395543,0.536004628499052,0.581146197921363,0.604876801485562,0.6446664535559,0.719271976766295,0.816833822806505,0.0471831309894791,0.498770561047042,0.643692104128578,0.72126042207924,0.801205812725841,0.863810213073171,0.967017871787713,1.14359518869824,0.0888858915659908,0.163167753868625,0.353115504791931,1.0366882841549,2.8388392544645,4.05430085626593,13.0456908445635,25.5075958078623,3.42229952157614,0.652015275221836,0.924496434178565,1.17216056190539,1.31420447960287,1.44845882652566,1.67226998310051,2.06619465897582,0.189469361489456,1.2886749260723,1.72996763214465,3.00386046255497,5.89903933027297,8.23326958993492,22.7655015619202,49.8703619817143,5.63996089457026
R-CA2-3,ASHS Xs,0.42699644981412,0.48182632452759,0.529858780877788,0.545382056268378,0.57037080897667,0.639899866280671,0.722529440653921,0.0382412059594992,0.586714931123219,0.718769774752241,0.774778588672701,0.838877928663268,0.901927648135128,1.04157543834871,1.27198438574448,0.0883190167347607,0.286673880505362,0.781713816664063,2.54089391565871,4.20796559907129,7.48672337317036,19.7622330460312,50.8746565921689,5.03287225480636,0.888886895251085,1.20752627600855,1.40614920356661,1.50845316244084,1.66273471097706,1.99995822086865,2.37559898920131,0.201340868198744,1.91984572258939,2.95494512541198,6.08770231550222,9.20170288616596,15.1902927073411,37.3469332976953,94.7257690911886,9.15557316529184
R-DG,ASHS Xs,0.415333102549208,0.452707565784149,0.48537674220164,0.507590598365056,0.530651073100199,0.595111098768494,0.683854202687192,0.0377900785777478,0.646294529927582,0.704170583650539,0.824150247220197,0.893605505957345,0.947347006317034,1.07479242349064,1.18762271659445,0.0937513896648538,0.439533517080107,0.837564381800674,3.14959498548664,4.4313452022602,7.81108577130619,25.103497094034,50.4872691366869,5.78983271154506,1.09246692042045,1.32853071060665,1.57309643266475,1.74686112349824,1.86343672417692,2.23361067734076,2.5514255480568,0.212184046988905,2.30008870409226,3.3434453339948,7.80148452198896,10.6204749961899,16.8846914112526,48.7829297692661,98.0412166155055,11.1713489346417
R-SUB,ASHS Xs,0.312706581345869,0.344493913287165,0.369270736577484,0.393456795422072,0.411730219236045,0.463758857194506,0.542445419167432,0.0306251728861684,0.690247227023563,0.796144954167137,0.890484387632715,0.974074177974989,1.02567012930518,1.1040085365977,1.37420132705447,0.0850928371065504,0.236113572596085,0.513738307478943,2.462326283986,4.09999293293313,16.0680756534754,41.6552306442335,85.6896439466069,10.4795306869924,1.46112801775596,1.8711791835485,2.25803082194692,2.46793198025571,2.6587977624193,2.96987927137623,3.75957811939023,0.288668818320799,2.44679400604545,3.76283898284305,8.48588821713373,12.9797902731248,43.1815123491058,107.384502579253,227.669776667309,26.3955344483708
L-CA1,Freesurfer Long,0.184001873679483,0.199826347535526,0.218575556823198,0.231411961115403,0.243927584197129,0.272163094131785,0.354104634039413,0.0189355633440808,0.762407425532355,0.846657588838636,0.931619335659586,0.991705901968711,1.05683815317344,1.18369165659425,1.39570135410931,0.0886350472724575,0.217051381538875,0.387049016313099,1.381887944873,2.370967380924,4.23744101611176,15.6637648120236,31.0511740790626,3.79469518957039,2.78665786253362,3.41683314346011,3.94747064985869,4.31373470826128,4.65735072160407,5.45500463251558,6.8638189234763,0.521562861573071,4.28600285518271,5.75180113582894,10.2563970136531,14.4869702120247,23.0850460195496,70.4756754994719,145.782901513183,16.5818397965961
L-CA2-3,Freesurfer Long,0.146383158819211,0.167134131896274,0.183420121856548,0.193633000075391,0.202218382985474,0.225526337621106,0.277208686579158,0.0155471238095922,0.751819041110693,0.849246660271937,0.940981428607622,0.99522944413674,1.05469402887237,1.18464858153578,1.4620684966935,0.0850381383491333,0.170028677118965,0.287150114327342,2.16559686478536,3.9170183931037,6.80503239230045,16.3934401804758,29.0397415456007,4.1759683380601,3.60435594363033,4.10663684888012,4.78689114386945,5.16831051050215,5.53951059548081,6.43659783230866,8.35875455321316,0.594000014253407,4.79371753147497,6.67193067852602,16.4373339707042,25.3795665463042,40.7616657093868,89.9395759807522,167.533256177899,22.1090851989301
L-DG,Freesurfer Long,0.217393560366598,0.242421926143059,0.266624053329246,0.280921345827891,0.296350352507174,0.329605475109149,0.391026615642662,0.0220461233997036,0.73990361239208,0.825293599445963,0.926739736374325,0.981718520315366,1.04139639132333,1.17038935212937,1.37261566439932,0.0871819750905864,0.230875277535102,0.529727626694065,1.79617987106565,3.48159818274707,7.39571815622486,49.7828410056241,137.209452188468,12.9926452588292,2.19144665681883,2.72961952392847,3.23123845205125,3.5060766849404,3.75638424586264,4.42364902212511,5.2476075618295,0.412230112406349,3.34844549847392,5.36544440286148,9.79132398672297,16.0471967216908,30.0928429231198,178.601677231402,457.667686367204,46.2714816391516
L-SUB,Freesurfer Long,0.161616994743441,0.179866812496198,0.198352992073422,0.209499279940986,0.220428893062798,0.243771676210853,0.282060700731658,0.0165328009363559,0.758223799815838,0.863477019489548,0.936940705073593,0.990292516799859,1.05291389187829,1.1811370188002,1.43235206664525,0.0852662626461402,0.31980298546508,0.9803365447935,2.83538599012113,4.24952339426206,8.03382728453924,29.0596719318724,74.4743238831974,7.44667436634473,3.17899031202106,3.84770768041537,4.37816820823741,4.73331345505131,5.14268082666055,6.03135307144714,7.20193029417422,0.566510246150939,5.93192534222675,9.29418965704984,18.0833411760499,25.2696023427665,42.9355045459055,146.980867306715,422.846741058354,36.3854277874733
R-CA1,Freesurfer Long,0.210872538695749,0.233796307141275,0.254982923501047,0.268763112350152,0.282568218616041,0.314399056577246,0.359922226224458,0.0209854551106657,0.711797748912308,0.823311443376119,0.908458504627558,0.960611533693192,1.02187713718871,1.14835109062194,1.3363461468483,0.0842255075269785,0.272562196749463,0.515135044009859,3.18710124638748,5.00996176583479,8.48396151065764,26.472420475423,51.1726884120511,6.33850058453587,2.22380855861502,2.82996937035669,3.29918408754329,3.59148987897284,3.8842514653907,4.48357121676952,5.37118353352947,0.421552279971439,3.87535119255955,5.45585571439159,15.3008367180655,22.2304539969009,35.0727640894828,101.530376207608,174.150304480863,23.6830371379821
R-CA2-3,Freesurfer Long,0.191208584059444,0.212532464759921,0.232139489535769,0.243777257364558,0.25690612677855,0.285976162115796,0.331180114388391,0.0189440834695413,0.724419800971963,0.830663816716803,0.9257636851668,0.971804249285336,1.02889562935244,1.16552766510875,1.40260247257888,0.0842724595959009,0.351012660474248,0.774271757620282,2.03868772841927,4.38179463180601,9.13956330303921,70.0510540140585,144.596073337273,18.648916528749,2.64399365013666,3.17953972430446,3.69060928948728,3.98596613364177,4.31144549395515,5.01333665560434,5.8353383193534,0.472749880967777,4.94043625237605,6.99547593275883,12.3151494295593,21.7492363603626,40.7082833654108,297.554157943967,646.486568647246,76.3757686879883
R-DG,Freesurfer Long,0.203566436022719,0.228436696182547,0.252245194457976,0.265058990733067,0.278032992508932,0.307485183123462,0.347070700119813,0.0201959413230493,0.731677736146406,0.824613931159801,0.910115605902437,0.963679467071879,1.01456599154818,1.14313931251907,1.30746482965302,0.0800852434130746,0.257507353244481,0.442170721649175,1.45409233415852,3.59806279982915,7.37858704249851,21.0047545422012,47.1052392182289,5.72718336482344,2.497926020478,2.94144177146205,3.37662891517769,3.63969626834333,3.90547140302673,4.57641103819461,5.71658516519694,0.414254127836499,3.6725933428861,5.21205542788886,9.24852535779953,17.0046668227494,31.7093949364777,84.0354594974251,196.347245240766,21.9377429945929
